,transaction_id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_name,merchant_city,merchant_state,zip,mcc,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_card,client_id_card,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,Is_fraud,Details
0,7475327,1/1/2010 0:01,1556,2972,($77.00),Swipe Transaction,59935,Beulah,ND,58523,5499,"
",1556,30,67,1989,7,Female,594 Mountain View Street,46.79999923706055,-100.76000213623047,23679.0,48277.0,110153.0,740,4,2972,1556,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,True,2,55.0,05/2008,2008,No,No,
1,7475328,1/1/2010 0:02,561,4575,$14.57 ,Swipe Transaction,67570,Bettendorf,IA,52722,5311,"
",561,48,67,1971,6,Male,604 Pine Street,40.79999923706055,-91.12000274658203,18076.0,36853.0,112139.0,834,5,4575,561,Mastercard,Credit,5175842699412235,12/2024,438,True,1,9100.0,09/2005,2015,No,No,
2,7475329,1/1/2010 0:02,1129,102,$80.00 ,Swipe Transaction,27092,Vista,CA,92084,4829,"
",1129,49,65,1970,4,Male,2379 Forest Lane,33.18000030517578,-117.29000091552734,16894.0,34449.0,36540.0,686,3,102,1129,Mastercard,Debit,5874992802287595,05/2020,256,True,1,14802.0,01/2006,2008,No,No,
3,7475331,1/1/2010 0:05,430,2860,$200.00 ,Swipe Transaction,27092,Crown Point,IN,46307,4829,"
",430,52,67,1967,5,Female,903 Hill Boulevard,41.41999816894531,-87.3499984741211,26168.0,53350.0,128676.0,685,5,2860,430,Mastercard,Debit,5346827663529174,10/2024,54,False,2,37634.0,05/2004,2006,No,,
4,7475332,1/1/2010 0:06,848,3915,$46.41 ,Swipe Transaction,13051,Harwood,MD,20776,5813,"
",848,51,69,1968,5,Male,166 River Drive,38.86000061035156,-76.5999984741211,33529.0,68362.0,96182.0,711,2,3915,848,Visa,Debit,4354185735186651,01/2020,120,True,1,19113.0,07/2009,2014,No,No,
5,7475333,1/1/2010 0:07,1807,165,$4.81 ,Swipe Transaction,20519,Bronx,NY,10464,5942,"
",1807,47,65,1972,12,Female,14780 Plum Lane,40.84000015258789,-73.87000274658203,25537.0,52065.0,98613.0,828,5,165,1807,Mastercard,Debit (Prepaid),5207231566469664,03/2014,198,True,1,89.0,01/2008,2015,No,No,
6,7475334,1/1/2010 0:09,1556,2972,$77.00 ,Swipe Transaction,59935,Beulah,ND,58523,5499,"
",1556,30,67,1989,7,Female,594 Mountain View Street,46.79999923706055,-100.76000213623047,23679.0,48277.0,110153.0,740,4,2972,1556,Mastercard,Debit (Prepaid),5497590243197280,07/2022,306,True,2,55.0,05/2008,2008,No,,
7,7475335,1/1/2010 0:14,1684,2140,$26.46 ,Online Transaction,39021,ONLINE,,,4784,"
",1684,56,65,1963,11,Male,27019 Madison Lane,36.34000015258789,-83.27999877929688,13668.0,27861.0,108313.0,782,5,2140,1684,Mastercard,Debit (Prepaid),5955075527372953,05/2021,513,True,1,46.0,03/2007,2012,No,No,
8,7475336,1/1/2010 0:21,335,5131,$261.58 ,Online Transaction,50292,ONLINE,,,7801,"
",335,46,68,1973,7,Female,75 Birch Lane,26.739999771118164,-80.12000274658203,27696.0,56467.0,66565.0,688,3,5131,335,Visa,Debit,4414800408438414,06/2020,833,True,1,23401.0,10/2008,2011,No,,
9,7475337,1/1/2010 0:21,351,1112,$10.74 ,Swipe Transaction,3864,Flushing,NY,11355,5813,"
",351,91,70,1928,9,Female,984 Little Creek Lane,40.77000045776367,-73.83999633789062,13810.0,17150.0,375.0,807,6,1112,351,Mastercard,Debit (Prepaid),5348108239138924,11/2023,893,True,2,54.0,02/2007,2010,No,,
